AvgTicketPrice,Cancelled,Dest,DestAirportID,DestCityName,DestCountry,DestLocation,DestRegion,DestWeather,DistanceKilometers,DistanceMiles,FlightDelay,FlightDelayMin,FlightDelayType,FlightNum,FlightTimeHour,FlightTimeMin,Origin,OriginAirportID,OriginCityName,OriginCountry,OriginLocation,OriginRegion,OriginWeather,dayOfWeek,hour_of_day
$957.51 ,TRUE,Naples International Airport,NA01,Naples,IT,"{
  ""lat"": ""40.886002"",
  ""lon"": ""14.2908""
}",IT-72,Cloudy,"10,244.08","6,365.38",TRUE,330,Weather Delay,YN6459A,19.72788794,"1,183.67",Mariscal Sucre International Airport,UIO,Quito,EC,"{
  ""lat"": ""-0.129166667"",
  ""lon"": ""-78.3575""
}",EC-P,Thunder & Lightning,5,15
$882.63 ,FALSE,Melbourne International Airport,MEL,Melbourne,AU,"{
  ""lat"": ""-37.673302"",
  ""lon"": ""144.843002""
}",SE-BD,Cloudy,"16,342.69","10,154.88",TRUE,210,Late Aircraft Delay,X972PJN,22.9555884,"1,377.34",Luis Munoz Marin International Airport,SJU,San Juan,PR,"{
  ""lat"": ""18.43939972"",
  ""lon"": ""-66.00180054""
}",PR-U-A,Sunny,5,15
$900.56 ,FALSE,Warsaw Chopin Airport,WAW,Warsaw,PL,"{
  ""lat"": ""52.16569901"",
  ""lon"": ""20.96710014""
}",PL-MZ,Damaging Wind,"8,206.03","5,098.99",FALSE,0,No Delay,W6E986Z,12.43337047,746.002,Luis Munoz Marin International Airport,SJU,San Juan,PR,"{
  ""lat"": ""18.43939972"",
  ""lon"": ""-66.00180054""
}",PR-U-A,Clear,5,15
$604.17 ,FALSE,Itami Airport,ITM,Osaka,JP,"{
  ""lat"": ""34.78549957"",
  ""lon"": ""135.4380035""
}",SE-BD,Sunny,861.608,535.379,FALSE,0,No Delay,4H2KUBH,0.755796905,45.348,Incheon International Airport,ICN,Seoul,KR,"{
  ""lat"": ""37.46910095"",
  ""lon"": ""126.4509964""
}",SE-BD,Damaging Wind,5,15
$895.14 ,FALSE,Turin Airport,TO11,Torino,IT,"{
  ""lat"": ""45.200802"",
  ""lon"": ""7.64963""
}",IT-21,Cloudy,"8,142.41","5,059.46",FALSE,0,No Delay,5ES35KN,9.693349764,581.601,Billings Logan International Airport,BIL,Billings,US,"{
  ""lat"": ""45.80770111"",
  ""lon"": ""-108.5429993""
}",US-MT,Cloudy,5,15
$832.98 ,FALSE,Montreal / Pierre Elliott Trudeau International Airport,YUL,Montreal,CA,"{
  ""lat"": ""45.47060013"",
  ""lon"": ""-73.74079895""
}",CA-QC,Rain,"6,177.84","3,838.73",FALSE,0,No Delay,7QQDFOZ,6.435253317,386.115,Milano Linate Airport,MI11,Milan,IT,"{
  ""lat"": ""45.445099"",
  ""lon"": ""9.27674""
}",IT-25,Heavy Fog,5,15
$366.06 ,FALSE,San Francisco International Airport,SFO,San Francisco,US,"{
  ""lat"": ""37.61899948"",
  ""lon"": ""-122.375""
}",US-CA,Rain,"2,385.11","1,482.04",FALSE,0,No Delay,9VIYU7K,2.208432106,132.506,San Antonio International Airport,SAT,San Antonio,US,"{
  ""lat"": ""29.53370094"",
  ""lon"": ""-98.46980286""
}",US-TX,Rain,5,15
$605.66 ,FALSE,Wichita Mid Continent Airport,ICT,Wichita,US,"{
  ""lat"": ""37.64989853"",
  ""lon"": ""-97.43309784""
}",US-KS,Heavy Fog,"8,487.05","5,273.61",FALSE,0,No Delay,2ZTUP7Y,10.10362956,606.218,Vienna International Airport,VIE,Vienna,AT,"{
  ""lat"": ""48.11029816"",
  ""lon"": ""16.56970024""
}",AT-9,Cloudy,5,15
$599.39 ,TRUE,Stockholm-Arlanda Airport,ARN,Stockholm,SE,"{
  ""lat"": ""59.65190125"",
  ""lon"": ""17.91860008""
}",SE-AB,Rain,"8,350.74","5,188.91",FALSE,0,No Delay,8ABZBRH,12.65263242,759.158,Reno Tahoe International Airport,RNO,Reno,US,"{
  ""lat"": ""39.49909973"",
  ""lon"": ""-119.7679977""
}",US-NV,Hail,5,15
$714.30 ,FALSE,Turin Airport,TO11,Torino,IT,"{
  ""lat"": ""45.200802"",
  ""lon"": ""7.64963""
}",IT-21,Heavy Fog,"7,747.40","4,814.01",FALSE,0,No Delay,5XPQI9G,7.595492169,455.73,Edmonton International Airport,CYEG,Edmonton,CA,"{
  ""lat"": ""53.30970001"",
  ""lon"": ""-113.5800018""
}",CA-AB,Damaging Wind,5,15
$575.25 ,FALSE,Oslo Gardermoen Airport,OSL,Oslo,NO,"{
  ""lat"": ""60.19390106"",
  ""lon"": ""11.10039997""
}",NO-02,Rain,"7,240.73","4,499.18",FALSE,0,No Delay,UA9DRO9,6.704377412,402.263,Birmingham-Shuttlesworth International Airport,BHM,Birmingham,US,"{
  ""lat"": ""33.56290054"",
  ""lon"": ""-86.75350189""
}",US-AL,Rain,5,15
"$1,120.73 ",FALSE,Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,CA,"{
  ""lat"": ""49.90999985"",
  ""lon"": ""-97.23989868""
}",CA-MB,Clear,"7,222.97","4,488.14",FALSE,0,No Delay,U060W04,10.94388666,656.633,Turin Airport,TO11,Torino,IT,"{
  ""lat"": ""45.200802"",
  ""lon"": ""7.64963""
}",IT-21,Clear,5,15
$999.31 ,FALSE,Genoa Cristoforo Colombo Airport,GE01,Genova,IT,"{
  ""lat"": ""44.4133"",
  ""lon"": ""8.8375""
}",IT-42,Damaging Wind,"7,005.90","4,353.26",TRUE,150,NAS Delay,AZS5EW8,13.11499346,786.9,Cleveland Hopkins International Airport,CLE,Cleveland,US,"{
  ""lat"": ""41.4117012"",
  ""lon"": ""-81.84980011""
}",US-OH,Rain,5,15
$399.24 ,FALSE,Rochester International Airport,RST,Rochester,US,"{
  ""lat"": ""43.90829849"",
  ""lon"": ""-92.5""
}",US-MN,Cloudy,"1,583.65",984.035,FALSE,0,No Delay,1MAEYXT,1.466343657,87.981,Norfolk International Airport,ORF,Norfolk,US,"{
  ""lat"": ""36.89459991"",
  ""lon"": ""-76.20120239""
}",US-VA,Heavy Fog,5,15
"$1,113.95 ",FALSE,Xi'an Xianyang International Airport,XIY,Xi'an,CN,"{
  ""lat"": ""34.447102"",
  ""lon"": ""108.751999""
}",SE-BD,Sunny,"10,316.16","6,410.16",FALSE,0,No Delay,BP2ELNS,14.32799426,859.68,Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,CA,"{
  ""lat"": ""49.90999985"",
  ""lon"": ""-97.23989868""
}",CA-MB,Rain,5,15
$677.26 ,FALSE,Treviso-Sant'Angelo Airport,TV01,Treviso,IT,"{
  ""lat"": ""45.648399"",
  ""lon"": ""12.1944""
}",IT-34,Rain,"6,818.16","4,236.61",FALSE,0,No Delay,109CUFD,6.313107729,378.786,Rajiv Gandhi International Airport,HYD,Hyderabad,IN,"{
  ""lat"": ""17.23131752"",
  ""lon"": ""78.42985535""
}",SE-BD,Cloudy,5,15
$784.74 ,FALSE,Minneapolis-St Paul International/Wold-Chamberlain Airport,MSP,Minneapolis,US,"{
  ""lat"": ""44.88199997"",
  ""lon"": ""-93.22180176""
}",US-MN,Clear,"9,840.61","6,114.67",FALSE,0,No Delay,RIVNUT1,13.66751209,820.051,Chubu Centrair International Airport,NGO,Tokoname,JP,"{
  ""lat"": ""34.85839844"",
  ""lon"": ""136.8049927""
}",SE-BD,Cloudy,5,15
$616.69 ,FALSE,Vienna International Airport,VIE,Vienna,AT,"{
  ""lat"": ""48.11029816"",
  ""lon"": ""16.56970024""
}",AT-9,Thunder & Lightning,"1,447.06",899.161,FALSE,0,No Delay,NGZ1V5U,1.41868526,85.121,Manchester Airport,MAN,Manchester,GB,"{
  ""lat"": ""53.35369873"",
  ""lon"": ""-2.274950027""
}",GB-ENG,Cloudy,5,14
$922.53 ,FALSE,OR Tambo International Airport,JNB,Johannesburg,ZA,"{
  ""lat"": ""-26.1392"",
  ""lon"": ""28.246""
}",SE-BD,Sunny,"12,963.02","8,054.85",FALSE,0,No Delay,YYA3O1X,16.61925572,997.155,Newport News Williamsburg International Airport,PHF,Newport News,US,"{
  ""lat"": ""37.13190079"",
  ""lon"": ""-76.49299622""
}",US-VA,Rain,5,14
$957.28 ,FALSE,Warsaw Chopin Airport,WAW,Warsaw,PL,"{
  ""lat"": ""52.16569901"",
  ""lon"": ""20.96710014""
}",PL-MZ,Clear,"8,624.18","5,358.82",FALSE,0,No Delay,7BHP9JT,7.186819929,431.209,Tokyo Haneda International Airport,HND,Tokyo,JP,"{
  ""lat"": ""35.552299"",
  ""lon"": ""139.779999""
}",SE-BD,Hail,5,14
$221.14 ,FALSE,Zurich Airport,ZRH,Zurich,CH,"{
  ""lat"": ""47.464699"",
  ""lon"": ""8.54917""
}",CH-ZH,Sunny,0,0,FALSE,0,No Delay,3QCO6IE,0,0,Zurich Airport,ZRH,Zurich,CH,"{
  ""lat"": ""47.464699"",
  ""lon"": ""8.54917""
}",CH-ZH,Thunder & Lightning,5,14
$651.82 ,FALSE,Shanghai Hongqiao International Airport,SHA,Shanghai,CN,"{
  ""lat"": ""31.19790077"",
  ""lon"": ""121.3359985""
}",SE-BD,Rain,"11,952.78","7,427.11",FALSE,0,No Delay,52T3F16,14.22949668,853.77,Philadelphia International Airport,PHL,Philadelphia,US,"{
  ""lat"": ""39.87189865"",
  ""lon"": ""-75.2410965""
}",US-PA,Clear,5,14
$391.06 ,FALSE,OR Tambo International Airport,JNB,Johannesburg,ZA,"{
  ""lat"": ""-26.1392"",
  ""lon"": ""28.246""
}",SE-BD,Cloudy,477.858,296.927,TRUE,195,Carrier Delay,5CD66NR,3.669173604,220.15,King Shaka International Airport,DUR,Durban,ZA,"{
  ""lat"": ""-29.61444444"",
  ""lon"": ""31.11972222""
}",SE-BD,Damaging Wind,5,14
$814.04 ,FALSE,Licenciado Benito Juarez International Airport,AICM,Mexico City,MX,"{
  ""lat"": ""19.4363"",
  ""lon"": ""-99.072098""
}",MX-DIF,Sunny,"10,264.74","6,378.21",TRUE,360,Carrier Delay,JG56A92,14.14661637,848.797,Ciampino___G. B. Pastine International Airport,RM12,Rome,IT,"{
  ""lat"": ""41.7994"",
  ""lon"": ""12.5949""
}",IT-62,Thunder & Lightning,5,14
$567.11 ,FALSE,Dubai International Airport,DXB,Dubai,AE,"{
  ""lat"": ""25.25279999"",
  ""lon"": ""55.36439896""
}",SE-BD,Sunny,"5,658.30","3,515.91",FALSE,0,No Delay,AR9OTDM,6.287002885,377.22,Adolfo Suarez Madrid— Barajas Airport,MAD,Madrid,ES,"{
  ""lat"": ""40.471926"",
  ""lon"": ""-3.56264""
}",ES-M,Hail,5,14
$726.19 ,FALSE,Oslo Gardermoen Airport,OSL,Oslo,NO,"{
  ""lat"": ""60.19390106"",
  ""lon"": ""11.10039997""
}",NO-02,Rain,"6,494.71","4,035.62",FALSE,0,No Delay,6NRNLBV,7.731794408,463.908,Edmonton International Airport,CYEG,Edmonton,CA,"{
  ""lat"": ""53.30970001"",
  ""lon"": ""-113.5800018""
}",CA-AB,Clear,5,14
$873.10 ,FALSE,London Luton Airport,LTN,London,GB,"{
  ""lat"": ""51.87469864"",
  ""lon"": ""-0.368333012""
}",GB-ENG,Cloudy,"6,925.37","4,303.23",FALSE,0,No Delay,OWKSWAM,7.213930344,432.836,Birmingham-Shuttlesworth International Airport,BHM,Birmingham,US,"{
  ""lat"": ""33.56290054"",
  ""lon"": ""-86.75350189""
}",US-AL,Heavy Fog,5,14
$730.77 ,FALSE,Shanghai Hongqiao International Airport,SHA,Shanghai,CN,"{
  ""lat"": ""31.19790077"",
  ""lon"": ""121.3359985""
}",SE-BD,Clear,"19,601.82","12,180.01",FALSE,0,No Delay,VDD8J9D,16.33484977,980.091,Ministro Pistarini International Airport,EZE,Buenos Aires,AR,"{
  ""lat"": ""-34.8222"",
  ""lon"": ""-58.5358""
}",SE-BD,Damaging Wind,5,14
$356.45 ,FALSE,Scott AFB/Midamerica Airport,BLV,Belleville,US,"{
  ""lat"": ""38.5452"",
  ""lon"": ""-89.835197""
}",US-IL,Rain,"1,911.09","1,187.49",FALSE,0,No Delay,ZGLD72A,1.873613269,112.417,Salt Lake City International Airport,SLC,Salt Lake City,US,"{
  ""lat"": ""40.78839874"",
  ""lon"": ""-111.9779968""
}",US-UT,Hail,5,14
$203.33 ,FALSE,Pisa International Airport,PI05,Pisa,IT,"{
  ""lat"": ""43.683899"",
  ""lon"": ""10.3927""
}",IT-52,Thunder & Lightning,595.307,369.907,TRUE,90,NAS Delay,H5OVG6D,2.401980673,144.119,Bari Karol Wojty__a Airport,BA02,Bari,IT,"{
  ""lat"": ""41.138901"",
  ""lon"": ""16.760599""
}",IT-75,Clear,5,14
"$1,011.39 ",FALSE,Leonardo da Vinci___Fiumicino Airport,RM11,Rome,IT,"{
  ""lat"": ""41.8002778"",
  ""lon"": ""12.2388889""
}",IT-62,Rain,"9,365.55","5,819.48",FALSE,0,No Delay,L6VXXIV,9.755777238,585.347,El Dorado International Airport,BOG,Bogota,CO,"{
  ""lat"": ""4.70159"",
  ""lon"": ""-74.1469""
}",CO-CUN,Rain,5,14
$379.08 ,TRUE,Narita International Airport,NRT,Tokyo,JP,"{
  ""lat"": ""35.76470184"",
  ""lon"": ""140.3860016""
}",SE-BD,Thunder & Lightning,463.041,287.72,FALSE,0,No Delay,G5FNH2J,0.514490008,30.869,Itami Airport,ITM,Osaka,JP,"{
  ""lat"": ""34.78549957"",
  ""lon"": ""135.4380035""
}",SE-BD,Clear,5,14
$687.46 ,FALSE,Verona Villafranca Airport,VR10,Verona,IT,"{
  ""lat"": ""45.395699"",
  ""lon"": ""10.8885""
}",IT-34,Rain,"16,426.77","10,207.12",FALSE,0,No Delay,CY7W89I,13.03711989,782.227,Sydney Kingsford Smith International Airport,SYD,Sydney,AU,"{
  ""lat"": ""-33.94609833"",
  ""lon"": ""151.177002""
}",SE-BD,Cloudy,5,13
$754.24 ,TRUE,Olenya Air Base,XLMO,Olenegorsk,RU,"{
  ""lat"": ""68.15180206"",
  ""lon"": ""33.46390152""
}",RU-MUR,Thunder & Lightning,"10,463.97","6,502.01",FALSE,0,No Delay,9ETZNNE,9.17892306,550.735,OR Tambo International Airport,JNB,Johannesburg,ZA,"{
  ""lat"": ""-26.1392"",
  ""lon"": ""28.246""
}",SE-BD,Cloudy,5,13
$632.84 ,FALSE,Turin Airport,TO11,Torino,IT,"{
  ""lat"": ""45.200802"",
  ""lon"": ""7.64963""
}",IT-21,Heavy Fog,"9,260.23","5,754.04",TRUE,105,Carrier Delay,C18LNQD,15.78065793,946.839,Shanghai Pudong International Airport,PVG,Shanghai,CN,"{
  ""lat"": ""31.14340019"",
  ""lon"": ""121.8050003""
}",SE-BD,Cloudy,5,13
$964.30 ,TRUE,Newport News Williamsburg International Airport,PHF,Newport News,US,"{
  ""lat"": ""37.13190079"",
  ""lon"": ""-76.49299622""
}",US-VA,Damaging Wind,"16,877.26","10,487.04",FALSE,0,No Delay,CTV03W5,20.09197258,"1,205.52",Adelaide International Airport,ADL,Adelaide,AU,"{
  ""lat"": ""-34.945"",
  ""lon"": ""138.531006""
}",SE-BD,Cloudy,5,13
$317.84 ,FALSE,Quad City International Airport,MLI,Moline,US,"{
  ""lat"": ""41.44850159"",
  ""lon"": ""-90.50749969""
}",US-IL,Rain,870.825,541.105,FALSE,0,No Delay,YJ3J3X1,0.725687233,43.541,Pittsburgh International Airport,PIT,Pittsburgh,US,"{
  ""lat"": ""40.49150085"",
  ""lon"": ""-80.23290253""
}",US-PA,Sunny,5,13
$476.17 ,FALSE,Zurich Airport,ZRH,Zurich,CH,"{
  ""lat"": ""47.464699"",
  ""lon"": ""8.54917""
}",CH-ZH,Sunny,0,0,TRUE,180,Late Aircraft Delay,J8N1BS5,3,180,Zurich Airport,ZRH,Zurich,CH,"{
  ""lat"": ""47.464699"",
  ""lon"": ""8.54917""
}",CH-ZH,Clear,5,13
$511.58 ,FALSE,Ukrainka Air Base,XHBU,Belogorsk,RU,"{
  ""lat"": ""51.169997"",
  ""lon"": ""128.445007""
}",RU-AMU,Rain,"9,064.27","5,632.27",TRUE,270,NAS Delay,QJBLZU7,13.38653522,803.192,Ottawa Macdonald-Cartier International Airport,YOW,Ottawa,CA,"{
  ""lat"": ""45.32249832"",
  ""lon"": ""-75.66919708""
}",CA-ON,Thunder & Lightning,5,13
$960.05 ,FALSE,Venice Marco Polo Airport,VE05,Venice,IT,"{
  ""lat"": ""45.505299"",
  ""lon"": ""12.3519""
}",IT-34,Rain,"16,311.65","10,135.59",FALSE,0,No Delay,U8JILWG,22.65507259,"1,359.30",Sydney Kingsford Smith International Airport,SYD,Sydney,AU,"{
  ""lat"": ""-33.94609833"",
  ""lon"": ""151.177002""
}",SE-BD,Cloudy,5,13
"$1,188.22 ",FALSE,Treviso-Sant'Angelo Airport,TV01,Treviso,IT,"{
  ""lat"": ""45.648399"",
  ""lon"": ""12.1944""
}",IT-34,Clear,"8,840.38","5,493.16",FALSE,0,No Delay,0O7Y2MC,9.20873168,552.524,Cape Town International Airport,CPT,Cape Town,ZA,"{
  ""lat"": ""-33.96480179"",
  ""lon"": ""18.60169983""
}",SE-BD,Clear,5,13
"$1,156.49 ",FALSE,Warsaw Chopin Airport,WAW,Warsaw,PL,"{
  ""lat"": ""52.16569901"",
  ""lon"": ""20.96710014""
}",PL-MZ,Sunny,972.607,604.35,FALSE,0,No Delay,N2JAT6F,0.953536312,57.212,Venice Marco Polo Airport,VE05,Venice,IT,"{
  ""lat"": ""45.505299"",
  ""lon"": ""12.3519""
}",IT-34,Rain,5,12
$715.43 ,FALSE,Ukrainka Air Base,XHBU,Belogorsk,RU,"{
  ""lat"": ""51.169997"",
  ""lon"": ""128.445007""
}",RU-AMU,Heavy Fog,"13,450.98","8,358.05",FALSE,0,No Delay,CAY05LK,14.01144189,840.687,El Dorado International Airport,BOG,Bogota,CO,"{
  ""lat"": ""4.70159"",
  ""lon"": ""-74.1469""
}",SE-BD,Sunny,5,12
"$1,068.59 ",TRUE,San Francisco International Airport,SFO,San Francisco,US,"{
  ""lat"": ""37.61899948"",
  ""lon"": ""-122.375""
}",US-CA,Heavy Fog,"8,246.27","5,123.99",FALSE,0,No Delay,238Q02Q,8.084577462,485.075,Narita International Airport,NRT,Tokyo,JP,"{
  ""lat"": ""35.76470184"",
  ""lon"": ""140.3860016""
}",SE-BD,Damaging Wind,5,12
"$1,009.99 ",FALSE,Wichita Mid Continent Airport,ICT,Wichita,US,"{
  ""lat"": ""37.64989853"",
  ""lon"": ""-97.43309784""
}",US-KS,Clear,"8,164.93","5,073.45",FALSE,0,No Delay,PMKXWHZ,8.505130929,510.308,Turin Airport,TO11,Torino,IT,"{
  ""lat"": ""45.200802"",
  ""lon"": ""7.64963""
}",IT-21,Cloudy,5,12
$933.27 ,FALSE,OR Tambo International Airport,JNB,Johannesburg,ZA,"{
  ""lat"": ""-26.1392"",
  ""lon"": ""28.246""
}",SE-BD,Sunny,"9,179.01","5,703.57",FALSE,0,No Delay,JRXLBRY,12.7486294,764.918,Copenhagen Kastrup Airport,CPH,Copenhagen,DK,"{
  ""lat"": ""55.61790085"",
  ""lon"": ""12.65600014""
}",DK-84,Damaging Wind,5,12
$657.33 ,FALSE,Gimpo International Airport,GMP,Seoul,KR,"{
  ""lat"": ""37.5583"",
  ""lon"": ""126.791""
}",SE-BD,Cloudy,"8,998.39","5,591.34",FALSE,0,No Delay,A6XHTIO,8.82195298,529.317,Genoa Cristoforo Colombo Airport,GE01,Genova,IT,"{
  ""lat"": ""44.4133"",
  ""lon"": ""8.8375""
}",IT-42,Thunder & Lightning,5,12
$733.98 ,FALSE,Lester B. Pearson International Airport,YYZ,Toronto,CA,"{
  ""lat"": ""43.67720032"",
  ""lon"": ""-79.63059998""
}",CA-ON,Hail,"6,036.89","3,751.15",FALSE,0,No Delay,NQV92KI,7.739604331,464.376,Charles de Gaulle International Airport,CDG,Paris,FR,"{
  ""lat"": ""49.01279831"",
  ""lon"": ""2.549999952""
}",FR-J,Heavy Fog,5,12
$669.96 ,TRUE,Shanghai Hongqiao International Airport,SHA,Shanghai,CN,"{
  ""lat"": ""31.19790077"",
  ""lon"": ""121.3359985""
}",SE-BD,Damaging Wind,"17,169.74","10,668.78",TRUE,330,NAS Delay,TSN71NF,23.38514021,"1,403.11",Jorge Chavez International Airport,LIM,Lima,PE,"{
  ""lat"": ""-12.0219"",
  ""lon"": ""-77.114304""
}",SE-BD,Hail,5,12
$984.66 ,FALSE,Turin Airport,TO11,Torino,IT,"{
  ""lat"": ""45.200802"",
  ""lon"": ""7.64963""
}",IT-21,Sunny,"9,852.22","6,121.89",FALSE,0,No Delay,4USJHT0,8.210185702,492.611,Tokyo Haneda International Airport,HND,Tokyo,JP,"{
  ""lat"": ""35.552299"",
  ""lon"": ""139.779999""
}",SE-BD,Hail,5,12
"$1,070.04 ",FALSE,Ministro Pistarini International Airport,EZE,Buenos Aires,AR,"{
  ""lat"": ""-34.8222"",
  ""lon"": ""-58.5358""
}",AR-B,Clear,"6,900.96","4,288.06",TRUE,255,Late Aircraft Delay,YMCU96B,10.00079714,600.048,Cape Town International Airport,CPT,Cape Town,ZA,"{
  ""lat"": ""-33.96480179"",
  ""lon"": ""18.60169983""
}",SE-BD,Sunny,5,12
$474.22 ,TRUE,Zurich Airport,ZRH,Zurich,CH,"{
  ""lat"": ""47.464699"",
  ""lon"": ""8.54917""
}",CH-ZH,Cloudy,0,0,FALSE,0,No Delay,5CSLMLT,0,0,Zurich Airport,ZRH,Zurich,CH,"{
  ""lat"": ""47.464699"",
  ""lon"": ""8.54917""
}",CH-ZH,Heavy Fog,5,12
$826.36 ,FALSE,San Antonio International Airport,SAT,San Antonio,US,"{
  ""lat"": ""29.53370094"",
  ""lon"": ""-98.46980286""
}",US-TX,Damaging Wind,"8,329.64","5,175.80",TRUE,150,Late Aircraft Delay,100720F,9.806703369,588.402,Charles de Gaulle International Airport,CDG,Paris,FR,"{
  ""lat"": ""49.01279831"",
  ""lon"": ""2.549999952""
}",FR-J,Cloudy,5,11
"$1,012.11 ",TRUE,Zurich Airport,ZRH,Zurich,CH,"{
  ""lat"": ""47.464699"",
  ""lon"": ""8.54917""
}",CH-ZH,Sunny,603.346,374.902,FALSE,0,No Delay,B1AE1C0,0.773520552,46.411,Amsterdam Airport Schiphol,AMS,Amsterdam,NL,"{
  ""lat"": ""52.30860138"",
  ""lon"": ""4.76388979""
}",NL-NH,Thunder & Lightning,5,11
$823.28 ,FALSE,Tokyo Haneda International Airport,HND,Tokyo,JP,"{
  ""lat"": ""35.552299"",
  ""lon"": ""139.779999""
}",SE-BD,Clear,"7,784.50","4,837.07",TRUE,195,Carrier Delay,MC8POW0,9.428175681,565.691,Sydney Kingsford Smith International Airport,SYD,Sydney,AU,"{
  ""lat"": ""-33.94609833"",
  ""lon"": ""151.177002""
}",SE-BD,Damaging Wind,5,11
